,time,event
0,-9500,cultivation of wild barley and oats around village settlements (Fertile Crescent) → dawn of farming on the Anatolian peninsula; storable grains sustaining population growth
1,-9500,"earliest monumental temple (Göbekli Tepe, Anatolia): carved stone stelae up to 4-m tall serving ritualistic purposes; associated skull cult; ceremonial porridge and beer"
2,-9500,"earliest use of brick architecture: sun-dried mudbricks (Anatolia and the Levant, spreading to Mesopotamia) → fired bricks by 3000 BCE (China)"
3,-9000,"earliest continuous settlements (southern Levant), including Jericho: stone and mudbrick architecture developing into a walled city of up to 3,000 people → modern cities of 30 million people"
4,-9000,"earliest artistic representation of human sexual intercourse: 10-cm phallic sculpture of sensual and tender intimacy (Ain Sakhri, Levant)"
5,-8400,"domestication of goats and sheep (Fertile Crescent and Turkey) → milk, meat, wool, hide and capital from 1.2 billion sheep and 1.1 billion goats by CE 2019, rising trend"
6,-8100,"global population of humans passes 5 million; annual energy use per person averages 1,700 kWh, 2.4× the resting metabolism"
7,-8000,continental ice-sheets withdraw from Europe and North America
8,-8000,"domestication of cattle, from aurochs (Near East and Indus Valley) → haulage, milk, meat, hide and capital from 1.5 billion head of cattle by CE 2019, rising trend"
9,-8000,"domestication of cats, from Near Eastern wildcats Felis silvestris lybica (Middle East) → 400 million domestic cats by CE 20ᵗʰ century, a substantial threat to wildlife"
10,-8000,"domestication of wheat (Mesopotamia): hybrid vigour efficiently converting solar energy into food energy → 772 million tonnes per year by CE 2017, using 218 million ha of land: peak production?"
11,-8000,"domestication of the bottle gourd Lagenaria siceraria, indigenous to Africa, in the Americas from Asian stock → global diffusion for containers, musical instruments, fishing floats"
12,-8000,"earliest record of artistic expression through dance, as rite of passage (engravings in Addaura II Cave, Sicily): rhythms that elevate the spirit → collective desire for cosmic order"
13,-7500,"domestication of chickens from red junglefowl (Southeast Asia) → meat and eggs from 25.9 billion chickens by CE 2019 and rising, 5× the biomass of all wild birds"
14,-7200,"earliest large-scale representations of complete human forms: lime plaster statues 1-m tall (Ain Ghazal, Jordan)"
15,-7000,"big-game hunting practised by females and males (Wilamaya Patjxa, Andean highlands) → strong male bias across recent hunter-gatherer societies"
16,-7000,"domestication of the potato (Andes, southern Peru) → 370 million tonnes per year by CE 2019, using 17 million ha of land; a food-security crop worldwide, not a globally traded commodity"
17,-7000,"domestication of pigs (Anatolia and China) → meat, hide, bristles, medical research and capital from 1.0 billion pigs by CE 2015: peak production?"
18,-7000,"rise of Transeurasian languages, with the spread of millet farming from the Liao River Valley (north-eastern China) → 80 languages now spoken from Istanbul to Tokyo"
19,-6500,"earliest mining of metal, to heat, hammer and grind into tools: copper for projectile points (Great Lakes, North America)"
20,-6500,"earliest cattle dairying (north-western Anatolia), for milk and its products of cheese and ghee: protein and fat obtained without killing the capital asset"
21,-6500,"beginning of a wave of migrations from the Middle East northwest through Anatolia, spreading farming practices into Europe"
22,-6000,"domestication of rice (Asia) → 763 million tonnes per year by CE 2018, using 166 million ha of land"
23,-6000,"foraging for honey (Mesolithic painting in the Araña Caves, Spain) → 90 million beehives by CE 2019"
24,-5900,"earliest grape wine and viniculture (South Caucasus) → wine as a social lubricant, medicine and commodity throughout western civilisation"
25,-5900,"start of the Copper Age (Fertile Crescent), spread of copper smelting for weapons and tools"
26,-5800,"cultivation of cotton Gossypium barbadense (north Peru); G. arboreum cultivated in Pakistan by 5500 BCE → clothing, fishing nets, sheets, towels, rugs, wadding"
27,-5600,"cultivation of poppies for opium (western Mediterranean), widespread by 4500 BCE, domestication by 3100 BCE → psychoactive, medicinal and alimentary uses"
28,-5500,"flooding of the Black Sea from the Mediterranean Sea: perhaps the great flood of the Epic of Gilgamesh, and the biblical flood of Noah’s Ark"
29,-5500,"earliest salt production, by evaporation of brine (Provadia-Solnitsata, Bulgaria): preserving food, enhancing flavour → high consumption in Western diet, with no evolutionary precedent"
30,-5480,"extraordinarily large influx of cosmic rays from an abnormal Sun, possibly caused by solar proton events → potential for DNA damage on a global scale"
31,-5200,"earliest use of bitumen, for waterproofing reed-bundle boats (As-Sabiyah, Kuwait) → 65 billion tons of asphalt in roads and pavements by CE 2020"
32,-5200,"earliest seaborne trading networks (Aegean for obsidian, Persian Gulf for Ubaid pottery), with mast and sail technology: the earliest harnessing of natural forces to replace human labour"
