,time,event
0,-1800,"beginnings of complex societies: Babylonian civilisation in Mesopotamia, 1800 BCE; Olmec civilisation in Mesoamerica, 1800 BCE; Shang dynasty in China, 1600 BCE; New Kingdom in Egypt, 1600 BCE"
1,-1800,earliest extraction and working of iron (Anatolia) → alloying with carbon to make steel in Cyprus by 1100 BCE
2,-1800,"earliest prose fiction: Epic of Gilgamesh (in cuneiform on clay tablets, Ur, Mesopotamia), on the tragicomedy of life, love won and lost, and inevitable death"
3,-1750,"earliest principles of insurance against loss or damage, for maritime shipments (Code of Hammurabi, Babylon)"
4,-1750,"earliest cultivation of the tea plant Camellia sinensis (China, early 2ⁿᵈ millennium BCE) → now the most frequently consumed beverage worldwide, with many health benefits"
5,-1650,harvesting of latex from the Castilla elastica tree to make rubber for balls and figurines (Mexico): the first plastic polymer → unsurpassed sliding friction and durable elasticity
6,-1650,"earliest team sport: rubber-ball game played in an architectural ballcourt (Paso de la Amada, Mexico) → social compacts; decapitation rituals by CE 500"
7,-1650,"earliest porcelaneous high-fired ceramics (Piaoshan kiln, China): fragile when whole, indestructible as broken shards → true porcelain by early CE, China"
8,-1650,"earliest stencils of archetypes, for hyperbolae, ellipses and spirals, used in the Gathering of Crocus wall painting (Thera, Aegean Sea): knowledge of the foundations of geometry"
9,-1630,"earliest planetary observations, of the motions of Venus (reign of Ammisaduqa, king of Babylon)"
10,-1550,"reckoning with fractions and geometry (Rhind Mathematical Papyrus, Egypt)"
11,-1520,"first accurate timepiece: an outflow water-clock (Amenemhet, court of Amenhotep I, Egypt) measuring night-time; shadow clocks and sundials regulating daytime worker shifts"
12,-1500,"earliest depiction of joyful and uninhibited celebration by ordinary people (Minoan Harvester Vase, Agia Triada, Crete)"
13,-1330,"early depictions of mutual affection: Nefertiti holding the hand of her husband pharaoh Akhenaten, and gentleness: Ankhesenamun anointing her husband pharaoh Tutankhamun (Egypt)"
14,-1300,"earliest notated music: Hurrian Hymn to Nikkal (in cuneiform, Ugarit, Syria); the singing voice carrying further than the spoken voice, conveying feeling"
15,-1200,"sea-going trade in silver and dyes by Phoenicians, connecting the Levant with western Europe across the Mediterranean to the Atlantic Ocean"
16,-1050,"start of the Iron Age (Aegean; Britain by 800 BCE), iron replacing bronze for tools and weapons"
17,-1000,"use of hydraulic plaster, mixing lime with silicates (Tell es-Safi/Gath, Israel) → concrete in Ancient Rome by CE 70, the dominant building material of modern times"
18,-1000,"earliest depiction of the cosmos: a bronze disc inlaid with gold symbols of the Sun, Moon, and stars including the Pleiades cluster (Nebra, Germany)"
19,-950,"first Jewish temple (King Solomon, Jerusalem) → rise of Judaism for a chosen people"
20,-900,"earliest centre of higher learning (Taxila University, India) → Plato’s Academy in Greece by 387 BCE; Taixue University in China by CE 3; Al-Karaouine University in Morocco by CE 859; European medieval universities"
21,-900,"accurate prediction of lunar eclipses (Berlin Gold Hat, Germany)"
22,-900,"standardization of value: adoption of cowrie shells as money (Middle Western Zhou period, China) → cowrie monetary systems in Asia and West Africa during 3 millennia"
23,-850,"earliest professional army (Lacedaemonians of Sparta, Greece, described in Xenophon’s Constitution of the Lacedaemonians 388 BCE)"
24,-776,"first Olympic games (Olympia, Peloponnesus, 776 BCE)"
25,-700,"first book of European literature: The Iliad (Homer, Greece), an epic poem on the loss and suffering caused by war"
26,-700,"Archimedes’ Screw, used to irrigate Sennacherib’s elevated garden (river Tigris, Mesopotamia), described by Archimedes 4 centuries later"
27,-650,"earliest collection of scholarly texts, on 32,000 cuneiform tablets: the Library of Ashurbanipal (Nineveh, Iraq)"
