,time,event
0,1780,"mass production of spun textiles, mechanised by water power; coal-fired and steam-powered production of iron and steel (beginning Britain, c. 1780) → economies of scale, rising polarisation of rich and poor nations, dominance of fossil fuels"
1,1781,"inherent limits to the powers of reason (Immanuel Kant, Germany, Critique of Pure Reason 1781): knowledge springs from understanding the objects of experience; pure reason is properly directed only to moral imperatives"
2,1783,"invention of aviation: first piloted free flight by humans, in a hot-air balloon constructed by Joseph-Michel and Jacques-Étienne Montgolfier (France, 21/11/1783)"
3,1784,"first postulation of black holes (John Michell, Britain, 1784), later predicted by general relativity as singularities in spacetime, their gravitational fields pulling in all matter, and all electromagnetic radiation including light"
4,1789,"spread of Republicanism (French Revolution, 1789-1799) → radical socio-political transformation in western Europe; building of nation states; metric system of weights and measures by 1792"
5,1792,"indictment of double standards in the treatment of women by men (Mary Wollstonecraft, Britain, A Vindication of the Rights of Woman 1792) → slow progress towards gender equality"
6,1798,"calculation of Earth’s density, using a torsion balance (Henry Cavendish, Britain, 1798) → Newton’s gravitational constant G determining the gravitational force between two masses"
7,1798,"observation that population growth capacity always outpaces improvements in resources (Thomas Malthus, Britain, 1798) → the struggle for existence facing all organisms; the challenge to human wellbeing, until the advent of oil-based economies"
8,1799,"first electrochemical battery (Alessandro Volta, Italy, 1799), sandwiching electrolyte-soaked pasteboard between two dissimilar metals to create a steady voltage → mobile energy storage"
9,1807,"concept of the mutual dependence of physical, climatological and organic phenomena (Alexander von Humboldt, Prussia, 1807) → science of biogeography"
10,1808,"discovery of atoms, uniquely defining each chemical element of ordinary matter (John Dalton, UK, 1808) → atomic masses of Earth’s 94 elements; hydrogen accounting for nine tenths of all atoms in the Universe"
11,1817,"invention of the bicycle (Karl von Drais, Germany, 1817); pedals by 1853, chain by 1886, derailleur by 1895 → the most efficient human-powered land vehicle"
12,1821,"first demonstration of an electromagnetic rotary device (Michael Faraday, UK, 1821) → dynamos to generate electricity; electric motors to convert electricity into mechanical energy"
13,1822,"first prediction of Earth’s greenhouse effect (Joseph Fourier, France, 1822; empirical measurements by John Tyndall, Ireland, 1859) → CO₂ emissions from fossil fuels cause global climate warming"
14,1825,"first public railway for steam locomotives (George Stephenson, UK, 1825), outpacing carriage horses, previously the fastest land transport during 5,300 years of human history"
15,1826,"publication of String Quartet No. 14 in C-sharp minor Op. 131 by Ludwig van Beethoven (Germany, 1826): “hear only the direct revelation from another world” – Richard Wagner, 1870"
16,1827,"first permanent photograph taken by a camera (Nicéphore Niépce, France, 1827) → first image of a person, 1838: Louis Daguerre seizing the light, arresting its flight on silvered plate, preserving a moment in history"
17,1834,"invention of the Analytical Engine (Charles Babbage, UK, 1834), an unbuilt functional computer → first computer programs by Babbage and Ada Lovelace; programmable computers by 1940s"
18,1838,"first scheduled trans-Atlantic steamer: coal-fired Great Western (Isambard Kingdom Brunel, UK, 1838) → globalisation of economies"
19,1848,"scale of absolute temperature (Lord Kelvin, UK, 1848) → fundamental limit to degree of coldness at 0 Kelvin = −﻿273.15°C; quantum gases forced lower get hotter"
20,1850,"principles of conservation of energy and gain of entropy (Rudolf Clausius, Germany, and Lord Kelvin, UK, 1850) → laws of thermodynamics: heat flows from a warmer to a colder body – unless reversed by inertia"
21,1850,"industrial processing of flour and sugar; fattening of cattle in feedlots (Europe and USA, beginning c. 1850) → biggest dietary shift since the beginning of agriculture"
22,1856,"first practical compression refrigerator (James Harrison, Australia, 1856), for storing perishable foods → globalisation of trade in fresh and frozen meat, seafood, fruit and vegetables"
23,1859,"invention of the lead-acid cell (Gaston Planté, France, 1859), the first rechargeable battery → practical electric vehicles by the 1880s"
24,1859,"theory of evolution by natural selection (Charles Darwin, UK, On the Origin of Species 1859), a law unique to biological systems → heritable adaptations of individuals to their environment, speciation of populations through time, the diversity of life"
25,1859,"first training manual for care of the sick regardless of their means (Florence Nightingale, UK, Notes on Nursing 1859) → professional nursing, health benefits of personal cleanliness"
26,1860,"factory production of internal-combustion engines (Jean Lenoir, Belgium, 1860; user manual 1864) → electricity generators, vehicular transport"
27,1860,"development of Western modern art, during 100 years from c. 1860, depicting impressions of light and movement, expressive colours and forms, solitary and collective struggles, decisive moments and experience"
28,1865,"theory that electricity, magnetism and light are all manifestations of electromagnetic radiation (James Maxwell, UK, 1865) → foundations of quantum physics"
29,1866,"discovery of the unitary character of heritable traits, and the independent assortment of their alternative forms (Gregor Mendel, Austria, 1866) → the gene as unit of heredity, contained in chromosomes – but not for Borgs"
30,1867,"theory that capitalism exploits labour, with the objectionable consequence of empowering the rich by disadvantaging the poor (Carl Marx, Germany, Das Kapital 1867, 1885, 1894) → Marxism, socialism, Stalinism"
31,1874,"discovery of unequal infinities: the infinite continuum of all real numbers exceeds in size any infinite set of natural numbers (Georg Cantor, Germany, 1874) → three sizes of infinity?"
32,1876,"invention of the telephone (Alexander Bell, USA, 1876) → telecommunications"
33,1877,"invention of the phonograph (Thomas Edison, USA, 1877): first practical sound recording → gramophone, mass production of records (1890s), popularisation of individual artists"
34,1879,"invention of the electric light bulb (Thomas Edison, USA, 1879), providing cheap and safe illumination → organic light-emitting diodes by the 21ˢᵗ century"
35,1880,"invention of the photophone (Alexander Bell and Sumner Tainter, USA, 1880), transmitting sound on a beam of light → fibre-optic data transmission by 1966"
36,1880,adult literacy reaches 20% of the global population by 1880 → 85% by 2010
37,1882,"first commercially viable power stations, coal-fired (London and New York, 1882) → electrical grid; fossil fuels providing 63% of global electricity generation by 2019"
38,1882,"first hydroelectric power station (Jacob Schoellkopf, USA, 1882) → megadams replumbing the world’s major rivers from the 1950s; 16% of global (and 98% of Norway’s) electricity generation by 2019"
39,1884,"first rooftop photovoltaic solar array (Charles Fritts, USA, 1884) → rising to 3% of global electricity generation by 2019"
40,1884,"beginning of the Scramble for Africa by European powers (1884), occupying nine tenths by 1914 → ethnic partitioning through official colonial rule through to c. 1960"
41,1886,"first car with gasoline-powered internal combustion engine (Karl Benz, Germany, 1886) → 97 million motor vehicles produced globally per year by 2017: peak production?"
42,1887,"speed of light is invariant to source and observer motion (Albert Michelson and Edward Morley, USA, 1887) → upper limit to speed of matter and information, except for celestial objects separated by expanding space"
43,1887,"first wind-powered turbine for production of electricity (James Blyth, UK, 1887) → rising to 5% of global electricity generation by 2019"
44,1890,"centralised sewerage treatment plants (UK, USA, Australia, 1890s), preventing spread of diseases → urine diversion and recycling as fertiliser by 2022"
45,1893,"first self-governing democracy to grant women the vote (New Zealand, 1893) → rising women’s employment, diminishing yet ever-present gender inequality and bias"
46,1895,"first wireless transmission of telegraph signals by radio waves (Guglielmo Marconi, Italy, 1895), global radio communication by 1901 → radio broadcasts by 1920s; radar by 1930s"
47,1895,"first commercial screening of motion-picture films (Auguste and Louis Lumière, France, 1895) → birth of cinema, entrancing audiences with captured events and experience"
48,1895,"discovery of X-rays and production of X-ray images (Wilhelm Röntgen, Germany, 1895) → radiography"
49,1896,"discovery of natural radioactivity (Henri Becquerel, France, 1896) → radioisotopic labelling and dating, medical treatment of tumours"
50,1897,"first detection of an elementary – fundamental, subatomic and indivisible – particle: the electron (Joseph Thomson, UK, 1897)"
51,1899,"Planck units: natural units for length, time, mass and temperature (Max Planck, Germany, 1899) → fundamental limit to the degree of heat = 1.42 × 10³² K"
52,1900,"theory of the unconscious mind and emotions motivating and guiding human behaviour (Sigmund Freud, Austria, The Interpretation of Dreams 1900) → limits to the rationality of behaviour; foundation of psychoanalysis"
53,1900,"Planck’s law: every physical body emits electromagnetic radiation (Max Planck, Germany, 1900) → quantum mechanics, explaining the subatomic workings of the Universe"
54,1900,"theory of energy quanta (Max Planck, Germany, 1900, Albert Einstein, Switzerland, 1905), including the photon, a massless elementary particle and quantum of electromagnetic radiation"
55,1900,"two-thirds of the global population living in extreme poverty, on less than US$1/day (1985 prices), by 1900 → one-quarter by 1990, amid rising geopolitical inequality up to 1950"
56,1900,"global average life expectancy equals 32 years by 1900 → doubling over the next 75 years, exposing diseases of ageing"
57,1903,"first powered, controlled flight by a heavier-than-air aircraft (Orville and Wilbur Wright, USA, 17/12/1903) → 4.4 billion airline passengers per year by 2019: peak volume?"
58,1904,"first quantification of dark matter (Lord Kelvin, UK, 1904), with gravitational influence yet no electromagnetic interactions: most of the matter in the Universe, concentrated amongst clustered galaxies"
59,1905,"theory of special relativity (Albert Einstein, Switzerland, 1905): energy-mass equivalence; length-contraction of moving objects and time-dilation of moving clocks relative to an observer → nuclear physics"
60,1905,"earliest chainsaw for cutting wood (Samuel Bens, USA, 1905), portable by 1918 → 2 billion m³ of wood processed globally by 2018, for construction, packaging, paper, pulp, fuel"
61,1907,"first organic polymer made from synthetic components: Bakelite plastic (Leo Baekeland, USA, 1907) → large-scale production of plastics from 1950, dominated by polythene"
62,1908,"industrial-scale synthesis of ammonia from ambient nitrogen (BASF, Germany, 1908) using the Haber-Bosch process → chemical fertilisers release crops from nitrogen limitation, fuelling the human population explosion"
63,1908,"unification of 3D space and 1D unidirectional time into absolute spacetime (Hermann Minkowski, Germany, 1908): deceleration through time accompanies acceleration through space, and vice versa"
64,1909,"first people to set foot on Earth’s poles (North Pole: Robert Peary and Matthew Henson, USA, 1909; South Pole: Roald Amundsen, Norway, 1911)"
65,1911,"discovery of the nuclear centre of atoms (Ernest Rutherford, UK, 1911); fission of the nitrogen nucleus to isolate subatomic protons by 1919"
66,1912,"idea of inwardness of feeling, in other ages directed at divinities, belonging to suffering, pain, love, joy (Rainer Maria Rilke, Germany, Duino Elegies 1912): inner commitment as life’s purpose"
67,1913,"introduction of factory assembly lines for mass production of cars (Ford Model T, USA, 1913), dedicating one worker to each step → dehumanising labour; affordable cars for labourers"
68,1914,"World War I (1914-18): 32 nations participate, 20 million killed; declared “the war to end war”"
