,time,event
0,2015,"UN General Assembly of 194 countries adopts 17 Sustainable Development Goals for 2030, to end poverty and other deprivations by improving health and education, reducing inequalities, addressing climate change and halting biodiversity loss (25/9/2015)"
1,2015,"UN Paris Agreement on Climate Change adopted by 196 nation states, resolving to keep global average temperature to well below 2°C in excess of pre-industrial levels, and striving to limit the increase to 1.5°C (12/12/2015) → slower losses of sea ice, permafrost, and biodiversity; no major economy on track by 2021"
2,2015,"human land use, rising exponentially up to 1960, still rising in 2015 for livestock grazing (27% of global land area), crops (7%), buildings, towns and cities (1%); industrial fishing in 55% of ocean area by 2015"
3,2016,"detection of gravitational waves (LIGO and Virgo interferometers, 11/2/2016): ripples in spacetime generated by accelerating bodies, predicted by the theory of general relativity"
4,2016,"coldest ground surface temperature on Earth: −﻿110.9°C (central-eastern Antarctica, 2016); once temperate rainforests, now dry and salty antarctic soils uninhabitable even to microbes"
5,2016,"destruction of more than 6 million ha (60,000 km²) of tropical primary forest during 2016, an unprecedented peak in a rising trend → quick profit from drawing down natural capital, a down payment on future economic failure"
6,2016,"global land and ocean surface temperature for 2016 reaches 0.99°C above the 1951-1980 mean, Earth’s warmest year on record to date → roadmap for decarbonisation, implicating lifestyle choices"
7,2016,"loss of ice-sheet mass triples in Antarctica and doubles in Greenland from 2006 to 2016, accelerating sea-level rise → 190 million people at risk"
8,2017,"first national legislation for a mid-century target of net-zero emissions (Sweden, 2017) → Suriname and Bhutan CO₂-negative by 2019; net-zero pledges by governments and companies cover 90% of the global economy by 2021, with big emitters yet to peak"
9,2017,"accumulation since 1957 of 23,000 space objects bigger than an apple, travelling at up to 28,000 km/hr in Earth orbit → debris risk to satellites and space stations, a problem for government space agencies of their own making"
10,2017,"accumulation of plastic waste since 1950 exceeds 5 billion tonnes in landfills and the natural environment by 2017, more than 10× global human biomass → pervasive microplastics across the globe; paucity of options for mitigating harm"
11,2018,"humans and our livestock achieve respectively 9× and 14× the biomass of all wild mammals by 2018→ imperative of shifting towards plant-based diets, co-benefitting forests, climate change and health"
12,2018,"hottest ground surface temperature on Earth: 80.8°C (Lut Desert, Iran, 2018; Sonoran Desert, Mexico, 2019), too hostile for plant life"
13,2018,"first commercial taxi service of fully self-driving cars (Google-Waymo, USA, 5/12/2018) → reducing traffic accidents, raising social dilemmas"
14,2018,human activities have modified three-quarters of ice-free land and almost nine-tenths of the ocean by 2018; Earth’s remaining wildernesses become increasingly vital buffers against climate change
15,2019,"first image of a black hole (Event Horizon Telescope, 10/4/2019), 55 million light-years from Earth, 6.5 billion times the mass of the Sun, with spiralling magnetic fields, expelling jets of matter"
16,2019,"first global assessment of biodiversity finds 1 million of Earth’s 8 million species threatened by accelerating extinction rates (IPBES, 2019): Earth’s sixth mass extinction imperils humanity’s life support systems, calling for transformative change in human activities"
17,2019,"Britain generates more electricity from zero-carbon sources than from fossil fuels for the first time since the Industrial Revolution (UK National Grid, 6/2019); fossil fuels still provide 84% of global primary energy"
18,2019,"energy use per person during 2019 exceeds the resting metabolism by 30× globally, and by 114× for citizens of the USA (cf. 15× for an elite athlete running a marathon)"
19,2019,"acidification of almost all open-ocean surface by absorption of anthropogenic CO₂, losing 0.02 pH units per decade since 1990, with current harm and projected threats to shell-forming species"
20,2019,"first global climate strike (20/9/2019), led by school children and joined by millions of people with justified concerns → world scientists warn of a climate emergency"
21,2019,"first demonstration of quantum supremacy over conventional computers (Google AI Quantum, USA, 2019) → double-exponential growth rate in computing power"
22,2019,"first case of COVID-19, caused by coronavirus SARS-CoV-2 (Wuhan, China, 1/12/2019) → pandemic triggering unprecedented lockdown of nations and societies worldwide, shrinking the global economy, deepening inequalities; largest vaccination programme in history begins 8/12/2020 after 5.7 million excess deaths"
23,2019,"inauguration of US Space Force (20/12/2019), formalising competition for military dominance in space; UK follows in 2021 → surveillance extending to stewardship and warfare capabilities"
24,2019,"rising frequency of weather-related disasters multiplies global economic losses 7.8× from the 1970s to the 2010s, disproportionately impoverishing the poor; early-warning systems reduce deaths by two-thirds"
25,2020,"One Trillion Tree Initiative (World Economic Forum, 2020), planting trees in support of the UN Decade on Ecosystem Restoration 2020-2030 → nature-based climate solutions"
26,2020,"launch of first commercial space taxi (SpaceX, 30/5/2020), taking NASA astronauts to the International Space Station"
27,2020,"highest recorded air temperature on Earth: 54.4°C in Death Valley (California, USA, 16/8/2020); emergence of intolerable heat, particularly for urban populations, exacerbated by air conditioning, mitigated by greenery"
28,2020,"protein structures accurately predicted by an artificial intelligence network: AlphaFold (DeepMind, USA, 2020) → accelerated understanding of protein functions; rapid advances in drug design"
29,2020,"human-made materials surpass Earth’s total living biomass, predominantly as concrete infrastructure, doubling in mass every 20 years since 1900 → our material contribution to the Anthropocene Epoch; need to reduce, reuse, recycle in a circular economy"
30,2020,"global land and ocean surface temperature for 2020 exceeds 1°C above the 1951-1980 mean for the first time, 1.2°C above the pre-industrial 1850-1900 baseline, with 2011-2020 the 4ᵗʰ decade in succession to claim warmest average temperature"
31,2020,"ambient temperature in the Arctic exceeds the 1981-2010 average by 2.1°C in 2020, warming 4× faster than the rest of the world; permafrost thawing reaches a point of no return; Arctic zombie fires release more than 4× the CO₂ emissions from global volcanic activity"
32,2021,"first powered, controlled flight on another planet: Ingenuity Helicopter drone on Mars (NASA, 19/4/2021), hovering 3 m above the Jezero Crater"
33,2021,"spacecraft Parker Solar Probe touches the Sun’s corona (NASA, 28/4/2021): sampling its outer atmosphere"
34,2021,"worldwide acceleration of glacier melt, now at twice the speed of 20 years ago → explaining one-fifth of the rate and acceleration in sea-level rise during the 21ˢᵗ century"
35,2021,"Earth’s hottest month on record (NOAA, July 2021): rising frequency of climate anomalies"
